Label (Grouping),Median income (dollars)
    Married-couple families,
        Estimate,"172,500"
        Margin of Error,"±15,095"
    Nonfamily households,
        Estimate,"55,299"
        Margin of Error,"±13,023"
ZCTA5 97035,
    Households,
        Estimate,"103,299"
        Margin of Error,"±3,616"
    Families,
        Estimate,"128,438"
        Margin of Error,"±6,328"
    Married-couple families,
        Estimate,"140,652"
        Margin of Error,"±14,442"
    Nonfamily households,
        Estimate,"56,080"
        Margin of Error,"±7,365"
ZCTA5 97037,
    Households,
        Estimate,"42,596"
        Margin of Error,"±9,381"
    Families,
        Estimate,"69,583"
        Margin of Error,"±31,097"
    Married-couple families,
        Estimate,"74,219"
        Margin of Error,"±31,092"
    Nonfamily households,
        Estimate,"19,000"
        Margin of Error,"±3,414"
ZCTA5 97038,
    Households,
        Estimate,"72,432"
        Margin of Error,"±10,610"
    Families,
        Estimate,"82,932"
        Margin of Error,"±6,619"
    Married-couple families,
        Estimate,"92,353"
        Margin of Error,"±6,600"
    Nonfamily households,
        Estimate,"49,656"
        Margin of Error,"±7,599"
ZCTA5 97039,
    Households,
        Estimate,"58,500"
        Margin of Error,"±8,344"
    Families,
        Estimate,"72,750"
        Margin of Error,"±11,548"
    Married-couple families,
        Estimate,"71,250"
        Margin of Error,"±15,627"
    Nonfamily households,
        Estimate,"31,420"
        Margin of Error,"±3,607"
ZCTA5 97040,
    Households,
        Estimate,"77,961"
        Margin of Error,"±15,974"
    Families,
        Estimate,"79,306"
        Margin of Error,"±18,095"
    Married-couple families,
        Estimate,"86,964"
        Margin of Error,"±15,324"
    Nonfamily households,
        Estimate,"64,219"
        Margin of Error,"±10,627"
ZCTA5 97041,
    Households,
        Estimate,"56,875"
        Margin of Error,"±22,137"
    Families,
        Estimate,"70,341"
        Margin of Error,"±34,526"
    Married-couple families,
        Estimate,"70,511"
        Margin of Error,"±35,099"
    Nonfamily households,
        Estimate,"44,070"
        Margin of Error,"±10,309"
ZCTA5 97042,
    Households,
        Estimate,"75,378"
        Margin of Error,"±10,888"
    Families,
        Estimate,"77,035"
        Margin of Error,"±20,684"
    Married-couple families,
        Estimate,"96,800"
        Margin of Error,"±15,302"
    Nonfamily households,
        Estimate,"63,594"
        Margin of Error,"±30,433"
ZCTA5 97045,
    Households,
        Estimate,"83,254"
        Margin of Error,"±4,279"
    Families,
        Estimate,"94,856"
        Margin of Error,"±4,735"
    Married-couple families,
        Estimate,"105,605"
        Margin of Error,"±4,161"
    Nonfamily households,
        Estimate,"44,507"
        Margin of Error,"±3,937"
ZCTA5 97048,
    Households,
        Estimate,"61,031"
        Margin of Error,"±8,117"
    Families,
        Estimate,"76,520"
        Margin of Error,"±11,370"
    Married-couple families,
        Estimate,"85,083"
        Margin of Error,"±13,279"
    Nonfamily households,
        Estimate,"31,920"
        Margin of Error,"±11,526"
ZCTA5 97049,
    Households,
        Estimate,"76,858"
        Margin of Error,"±13,438"
    Families,
        Estimate,"86,607"
        Margin of Error,"±35,429"
    Married-couple families,
        Estimate,"108,276"
        Margin of Error,"±36,571"
    Nonfamily households,
        Estimate,"75,976"
        Margin of Error,"±19,643"
ZCTA5 97050,
    Households,
        Estimate,"51,875"
        Margin of Error,"±21,317"
    Families,
        Estimate,"49,583"
        Margin of Error,"±26,682"
    Married-couple families,
        Estimate,"75,625"
        Margin of Error,"±8,579"
    Nonfamily households,
        Estimate,"36,500"
        Margin of Error,"±34,773"
ZCTA5 97051,
    Households,
        Estimate,"65,710"
        Margin of Error,"±7,761"
    Families,
        Estimate,"78,311"
        Margin of Error,"±6,266"
    Married-couple families,
        Estimate,"91,489"
        Margin of Error,"±7,852"
    Nonfamily households,
        Estimate,"35,982"
        Margin of Error,"±4,785"
ZCTA5 97053,
    Households,
        Estimate,"95,260"
        Margin of Error,"±31,147"
    Families,
        Estimate,"124,773"
        Margin of Error,"±36,799"
    Married-couple families,
        Estimate,"123,676"
        Margin of Error,"±35,623"
    Nonfamily households,
        Estimate,"39,599"
        Margin of Error,"±7,565"
ZCTA5 97054,
    Households,
        Estimate,"59,729"
        Margin of Error,"±7,924"
    Families,
        Estimate,"70,306"
        Margin of Error,"±16,420"
    Married-couple families,
        Estimate,"60,694"
        Margin of Error,"±35,216"
    Nonfamily households,
        Estimate,"28,523"
        Margin of Error,"±23,963"
ZCTA5 97055,
    Households,
        Estimate,"82,456"
        Margin of Error,"±4,749"
    Families,
        Estimate,"90,448"
        Margin of Error,"±6,366"
    Married-couple families,
        Estimate,"95,292"
        Margin of Error,"±19,730"
    Nonfamily households,
        Estimate,"47,857"
        Margin of Error,"±17,133"
ZCTA5 97056,
    Households,
        Estimate,"77,784"
        Margin of Error,"±10,495"
    Families,
        Estimate,"97,700"
        Margin of Error,"±5,880"
    Married-couple families,
        Estimate,"102,569"
        Margin of Error,"±6,473"
    Nonfamily households,
        Estimate,"37,080"
        Margin of Error,"±9,403"
ZCTA5 97057,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97058,
    Households,
        Estimate,"54,133"
        Margin of Error,"±3,196"
    Families,
        Estimate,"62,465"
        Margin of Error,"±6,336"
    Married-couple families,
        Estimate,"70,951"
        Margin of Error,"±4,504"
    Nonfamily households,
        Estimate,"33,567"
        Margin of Error,"±3,788"
ZCTA5 97060,
    Households,
        Estimate,"77,535"
        Margin of Error,"±7,043"
    Families,
        Estimate,"87,370"
        Margin of Error,"±7,502"
    Married-couple families,
        Estimate,"105,729"
        Margin of Error,"±11,736"
    Nonfamily households,
        Estimate,"47,255"
        Margin of Error,"±10,404"
ZCTA5 97062,
    Households,
        Estimate,"95,482"
        Margin of Error,"±4,794"
    Families,
        Estimate,"108,300"
        Margin of Error,"±5,227"
    Married-couple families,
        Estimate,"127,274"
        Margin of Error,"±7,740"
    Nonfamily households,
        Estimate,"51,173"
        Margin of Error,"±5,827"
ZCTA5 97063,
    Households,
        Estimate,"46,987"
        Margin of Error,"±11,306"
    Families,
        Estimate,"55,833"
        Margin of Error,"±47,116"
    Married-couple families,
        Estimate,"73,438"
        Margin of Error,"±36,574"
    Nonfamily households,
        Estimate,"44,545"
        Margin of Error,"±5,963"
ZCTA5 97064,
    Households,
        Estimate,"56,094"
        Margin of Error,"±12,293"
    Families,
        Estimate,"73,523"
        Margin of Error,"±11,173"
    Married-couple families,
        Estimate,"85,000"
        Margin of Error,"±10,157"
    Nonfamily households,
        Estimate,"29,021"
        Margin of Error,"±2,678"
ZCTA5 97065,
    Households,
        Estimate,"50,063"
        Margin of Error,"±9,841"
    Families,
        Estimate,"51,667"
        Margin of Error,"±28,320"
    Married-couple families,
        Estimate,"67,969"
        Margin of Error,"±32,189"
    Nonfamily households,
        Estimate,"36,094"
        Margin of Error,"±16,389"
ZCTA5 97067,
    Households,
        Estimate,"59,293"
        Margin of Error,"±13,561"
    Families,
        Estimate,"74,600"
        Margin of Error,"±36,164"
    Married-couple families,
        Estimate,"74,150"
        Margin of Error,"±29,897"
    Nonfamily households,
        Estimate,"50,603"
        Margin of Error,"±21,401"
ZCTA5 97068,
    Households,
        Estimate,"125,898"
        Margin of Error,"±10,519"
    Families,
        Estimate,"142,249"
        Margin of Error,"±7,967"
    Married-couple families,
        Estimate,"151,660"
        Margin of Error,"±7,135"
    Nonfamily households,
        Estimate,"46,642"
        Margin of Error,"±10,347"
ZCTA5 97070,
    Households,
        Estimate,"73,998"
        Margin of Error,"±6,463"
    Families,
        Estimate,"98,446"
        Margin of Error,"±9,532"
    Married-couple families,
        Estimate,"117,609"
        Margin of Error,"±10,561"
    Nonfamily households,
        Estimate,"53,223"
        Margin of Error,"±4,866"
ZCTA5 97071,
    Households,
        Estimate,"55,279"
        Margin of Error,"±4,345"
    Families,
        Estimate,"60,441"
        Margin of Error,"±7,372"
    Married-couple families,
        Estimate,"71,126"
        Margin of Error,"±8,342"
    Nonfamily households,
        Estimate,"28,376"
        Margin of Error,"±5,632"
ZCTA5 97080,
    Households,
        Estimate,"78,579"
        Margin of Error,"±5,590"
    Families,
        Estimate,"90,889"
        Margin of Error,"±7,719"
    Married-couple families,
        Estimate,"103,471"
        Margin of Error,"±6,166"
    Nonfamily households,
        Estimate,"45,995"
        Margin of Error,"±8,353"
ZCTA5 97086,
    Households,
        Estimate,"91,343"
        Margin of Error,"±7,288"
    Families,
        Estimate,"116,185"
        Margin of Error,"±11,609"
    Married-couple families,
        Estimate,"128,945"
        Margin of Error,"±7,044"
    Nonfamily households,
        Estimate,"51,310"
        Margin of Error,"±14,625"
ZCTA5 97089,
    Households,
        Estimate,"98,031"
        Margin of Error,"±7,733"
    Families,
        Estimate,"106,950"
        Margin of Error,"±10,076"
    Married-couple families,
        Estimate,"127,617"
        Margin of Error,"±12,413"
    Nonfamily households,
        Estimate,"46,146"
        Margin of Error,"±15,427"
ZCTA5 97101,
    Households,
        Estimate,"82,826"
        Margin of Error,"±10,541"
    Families,
        Estimate,"97,813"
        Margin of Error,"±23,641"
    Married-couple families,
        Estimate,"105,042"
        Margin of Error,"±19,938"
    Nonfamily households,
        Estimate,"35,625"
        Margin of Error,"±14,191"
ZCTA5 97102,
    Households,
        Estimate,"101,713"
        Margin of Error,"±26,820"
    Families,
        Estimate,"106,750"
        Margin of Error,"±79,518"
    Married-couple families,
        Estimate,"123,077"
        Margin of Error,"±121,972"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97103,
    Households,
        Estimate,"58,426"
        Margin of Error,"±5,357"
    Families,
        Estimate,"76,792"
        Margin of Error,"±4,757"
    Married-couple families,
        Estimate,"85,568"
        Margin of Error,"±7,976"
    Nonfamily households,
        Estimate,"37,633"
        Margin of Error,"±3,847"
ZCTA5 97106,
    Households,
        Estimate,"106,250"
        Margin of Error,"±8,274"
    Families,
        Estimate,"111,724"
        Margin of Error,"±9,802"
    Married-couple families,
        Estimate,"116,731"
        Margin of Error,"±15,065"
    Nonfamily households,
        Estimate,"47,500"
        Margin of Error,"±7,544"
ZCTA5 97107,
    Households,
        Estimate,"62,759"
        Margin of Error,"±13,300"
    Families,
        Estimate,"67,153"
        Margin of Error,"±18,417"
    Married-couple families,
        Estimate,"69,868"
        Margin of Error,"±28,233"
    Nonfamily households,
        Estimate,"31,838"
        Margin of Error,"±13,436"
ZCTA5 97108,
    Households,
        Estimate,"53,897"
        Margin of Error,"±28,134"
    Families,
        Estimate,"60,060"
        Margin of Error,"±15,184"
    Married-couple families,
        Estimate,"62,262"
        Margin of Error,"±2,882"
    Nonfamily households,
        Estimate,"35,893"
        Margin of Error,"±19,571"
ZCTA5 97109,
    Households,
        Estimate,"85,000"
        Margin of Error,"±37,056"
    Families,
        Estimate,"87,159"
        Margin of Error,"±13,129"
    Married-couple families,
        Estimate,"87,159"
        Margin of Error,"±13,989"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97110,
    Households,
        Estimate,"51,699"
        Margin of Error,"±16,520"
    Families,
        Estimate,"69,583"
        Margin of Error,"±36,257"
    Married-couple families,
        Estimate,"99,531"
        Margin of Error,"±55,401"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97111,
    Households,
        Estimate,"79,722"
        Margin of Error,"±20,777"
    Families,
        Estimate,"86,250"
        Margin of Error,"±19,631"
    Married-couple families,
        Estimate,"102,599"
        Margin of Error,"±29,685"
    Nonfamily households,
        Estimate,"38,750"
        Margin of Error,"±20,522"
ZCTA5 97112,
    Households,
        Estimate,"42,740"
        Margin of Error,"±15,862"
    Families,
        Estimate,"46,712"
        Margin of Error,"±19,496"
    Married-couple families,
        Estimate,"52,679"
        Margin of Error,"±34,198"
    Nonfamily households,
        Estimate,"24,500"
        Margin of Error,"±14,932"
ZCTA5 97113,
    Households,
        Estimate,"73,365"
        Margin of Error,"±14,249"
    Families,
        Estimate,"73,611"
        Margin of Error,"±17,046"
    Married-couple families,
        Estimate,"85,649"
        Margin of Error,"±15,137"
    Nonfamily households,
        Estimate,"64,407"
        Margin of Error,"±23,151"
ZCTA5 97114,
    Households,
        Estimate,"70,256"
        Margin of Error,"±10,610"
    Families,
        Estimate,"80,809"
        Margin of Error,"±15,061"
    Married-couple families,
        Estimate,"92,188"
        Margin of Error,"±19,078"
    Nonfamily households,
        Estimate,"47,000"
        Margin of Error,"±21,231"
ZCTA5 97115,
    Households,
        Estimate,"81,747"
        Margin of Error,"±7,799"
    Families,
        Estimate,"81,291"
        Margin of Error,"±10,645"
    Married-couple families,
        Estimate,"88,056"
        Margin of Error,"±12,003"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97116,
    Households,
        Estimate,"71,397"
        Margin of Error,"±5,477"
    Families,
        Estimate,"90,205"
        Margin of Error,"±7,353"
    Married-couple families,
        Estimate,"100,395"
        Margin of Error,"±3,593"
    Nonfamily households,
        Estimate,"38,571"
        Margin of Error,"±8,780"
ZCTA5 97117,
    Households,
        Estimate,"79,821"
        Margin of Error,"±19,631"
    Families,
        Estimate,"85,368"
        Margin of Error,"±16,179"
    Married-couple families,
        Estimate,"84,306"
        Margin of Error,"±45,557"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97118,
    Households,
        Estimate,"48,750"
        Margin of Error,"±9,956"
    Families,
        Estimate,"58,167"
        Margin of Error,"±3,237"
    Married-couple families,
        Estimate,"59,531"
        Margin of Error,"±10,139"
    Nonfamily households,
        Estimate,"32,228"
        Margin of Error,"±10,979"
ZCTA5 97119,
    Households,
        Estimate,"101,314"
        Margin of Error,"±13,622"
    Families,
        Estimate,"103,994"
        Margin of Error,"±19,565"
    Married-couple families,
        Estimate,"106,042"
        Margin of Error,"±20,606"
    Nonfamily households,
        Estimate,"64,146"
        Margin of Error,"±30,017"
ZCTA5 97121,
    Households,
        Estimate,"51,691"
        Margin of Error,"±7,730"
    Families,
        Estimate,"54,615"
        Margin of Error,"±11,801"
    Married-couple families,
        Estimate,"54,904"
        Margin of Error,"±20,623"
    Nonfamily households,
        Estimate,"45,529"
        Margin of Error,"±7,990"
ZCTA5 97122,
    Households,
        Estimate,"63,958"
        Margin of Error,"±24,180"
    Families,
        Estimate,"64,688"
        Margin of Error,"±24,363"
    Married-couple families,
        Estimate,"64,688"
        Margin of Error,"±24,363"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97123,
    Households,
        Estimate,"84,052"
        Margin of Error,"±3,732"
    Families,
        Estimate,"89,262"
        Margin of Error,"±5,867"
    Married-couple families,
        Estimate,"106,405"
        Margin of Error,"±4,447"
    Nonfamily households,
        Estimate,"52,619"
        Margin of Error,"±5,736"
ZCTA5 97124,
    Households,
        Estimate,"95,068"
        Margin of Error,"±6,533"
    Families,
        Estimate,"101,227"
        Margin of Error,"±6,448"
    Married-couple families,
        Estimate,"107,983"
        Margin of Error,"±5,954"
    Nonfamily households,
        Estimate,"72,021"
        Margin of Error,"±7,429"
ZCTA5 97125,
    Households,
        Estimate,"168,750"
        Margin of Error,"±156,129"
    Families,
        Estimate,"141,250"
        Margin of Error,"±116,227"
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97127,
    Households,
        Estimate,"77,662"
        Margin of Error,"±7,372"
    Families,
        Estimate,"78,412"
        Margin of Error,"±7,574"
    Married-couple families,
        Estimate,"80,052"
        Margin of Error,"±14,660"
    Nonfamily households,
        Estimate,"40,795"
        Margin of Error,"±23,987"
ZCTA5 97128,
    Households,
        Estimate,"54,983"
        Margin of Error,"±3,666"
    Families,
        Estimate,"72,575"
        Margin of Error,"±6,461"
    Married-couple families,
        Estimate,"86,677"
        Margin of Error,"±10,192"
    Nonfamily households,
        Estimate,"36,113"
        Margin of Error,"±4,763"
ZCTA5 97130,
    Households,
        Estimate,"55,757"
        Margin of Error,"±4,170"
    Families,
        Estimate,"60,208"
        Margin of Error,"±13,462"
    Married-couple families,
        Estimate,"57,303"
        Margin of Error,"±10,490"
    Nonfamily households,
        Estimate,"49,375"
        Margin of Error,"±13,229"
ZCTA5 97131,
    Households,
        Estimate,"59,063"
        Margin of Error,"±12,994"
    Families,
        Estimate,"66,940"
        Margin of Error,"±4,964"
    Married-couple families,
        Estimate,"67,885"
        Margin of Error,"±7,812"
    Nonfamily households,
        Estimate,"34,931"
        Margin of Error,"±18,438"
ZCTA5 97132,
    Households,
        Estimate,"80,541"
        Margin of Error,"±4,871"
    Families,
        Estimate,"92,058"
        Margin of Error,"±6,285"
    Married-couple families,
        Estimate,"104,988"
        Margin of Error,"±8,493"
    Nonfamily households,
        Estimate,"43,028"
        Margin of Error,"±6,780"
ZCTA5 97133,
    Households,
        Estimate,"105,938"
        Margin of Error,"±22,665"
    Families,
        Estimate,"132,321"
        Margin of Error,"±16,876"
    Married-couple families,
        Estimate,"138,125"
        Margin of Error,"±19,929"
    Nonfamily households,
        Estimate,"59,500"
        Margin of Error,"±14,555"
ZCTA5 97134,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97135,
    Households,
        Estimate,"67,750"
        Margin of Error,"±42,610"
    Families,
        Estimate,"80,179"
        Margin of Error,"±27,491"
    Married-couple families,
        Estimate,"69,281"
        Margin of Error,"±28,536"
    Nonfamily households,
        Estimate,"19,950"
        Margin of Error,"±2,346"
ZCTA5 97136,
    Households,
        Estimate,"52,083"
        Margin of Error,"±8,662"
    Families,
        Estimate,"56,675"
        Margin of Error,"±7,067"
    Married-couple families,
        Estimate,"61,250"
        Margin of Error,"±15,498"
    Nonfamily households,
        Estimate,"31,762"
        Margin of Error,"±1,474"
ZCTA5 97137,
    Households,
        Estimate,"95,938"
        Margin of Error,"±17,001"
    Families,
        Estimate,"107,000"
        Margin of Error,"±13,152"
    Married-couple families,
        Estimate,"116,538"
        Margin of Error,"±6,762"
    Nonfamily households,
        Estimate,"55,156"
        Margin of Error,"±10,510"
ZCTA5 97138,
    Households,
        Estimate,"47,575"
        Margin of Error,"±9,096"
    Families,
        Estimate,"73,750"
        Margin of Error,"±10,924"
    Married-couple families,
        Estimate,"87,115"
        Margin of Error,"±9,711"
    Nonfamily households,
        Estimate,"31,237"
        Margin of Error,"±2,142"
ZCTA5 97140,
    Households,
        Estimate,"108,865"
        Margin of Error,"±5,121"
    Families,
        Estimate,"122,173"
        Margin of Error,"±7,766"
    Married-couple families,
        Estimate,"130,000"
        Margin of Error,"±10,196"
    Nonfamily households,
        Estimate,"50,881"
        Margin of Error,"±20,873"
ZCTA5 97141,
    Households,
        Estimate,"54,424"
        Margin of Error,"±7,946"
    Families,
        Estimate,"65,819"
        Margin of Error,"±6,865"
    Married-couple families,
        Estimate,"83,061"
        Margin of Error,"±8,972"
    Nonfamily households,
        Estimate,"30,570"
